Quarter,Barangay,Local_Base_Budget_PHP,Local_IEC_PHP,Local_IEC_%,Local_Enf_PHP,Local_Enf_%,Local_Inc_PHP,Local_Inc_%,Local_Tanods_Active,Local_Compliance
7,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,93.69%
7,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,89.63%
7,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,96.97%
7,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,90.64%
7,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
7,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
7,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,90.03%
7,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,93.89%
7,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,91.79%
7,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,100.00%
7,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,90.64%
7,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
7,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
7,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,91.66%
7,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,92.90%
7,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,88.98%
7,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,98.79%
7,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,92.40%
8,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
8,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
8,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,91.26%
8,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,94.28%
8,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,91.36%
8,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,97.58%
8,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,89.47%
8,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
8,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
8,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,90.55%
8,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,93.29%
8,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,90.71%
8,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,100.00%
8,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,85.38%
8,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
8,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
8,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,90.16%
8,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,93.89%
8,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,91.14%
8,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,98.18%
8,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,90.06%
8,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
8,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
8,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,90.61%
8,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,92.90%
8,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,88.34%
8,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,98.79%
8,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,87.72%
9,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
9,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
9,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,89.96%
9,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,95.46%
9,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,91.14%
9,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,97.58%
9,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,90.64%
9,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
9,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
9,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,90.87%
9,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,96.06%
9,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,89.20%
9,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,98.79%
9,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,85.96%
9,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
9,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
9,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,90.42%
9,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,95.66%
9,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,85.31%
9,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,96.36%
9,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,88.30%
9,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
9,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
9,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,90.22%
9,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,90.93%
9,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,85.96%
9,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,98.79%
9,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,89.47%
10,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
10,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
10,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,90.48%
